Province,Category,Count,Min,Max,Meidan,Variance,Date
Hạ Long,Precipitation,3,0.2,99.3,0.2,32736.0,2020-10-30
Hạ Long,Precipitation,3,99.0,99.0,99.0,0.0,2020-12-01
Hạ Long,Precipitation,2,0.1,99.7,0.1,49600.8,2020-01-14
Hạ Long,Precipitation,4,99.1,99.1,99.1,0.0,2020-01-18
Hạ Long,Precipitation,2,2.6,2.6,2.6,0.0,2020-05-17
Hạ Long,Precipitation,3,99.0,99.0,99.0,0.0,2020-05-23
Hạ Long,Precipitation,4,0.1,99.9,0.1,32935.6,2020-03-21
Hạ Long,Precipitation,4,99.0,99.0,99.0,0.0,2020-03-27
Hạ Long,Precipitation,3,0.5,0.5,0.5,0.0,2020-11-07
Hạ Long,Precipitation,3,0.5,1.7,1.0,3.63,2020-04-08
Hạ Long,Precipitation,3,0.1,1.0,1.0,2.7,2020-08-21
Hạ Long,Precipitation,3,99.0,99.1,99.1,0.03,2020-04-18
Hạ Long,Precipitation,3,0.2,0.2,0.2,0.0,2020-06-13
Hạ Long,Precipitation,3,1.1,1.1,1.1,0.0,2020-10-09
Hạ Long,Precipitation,4,0.7,0.7,0.7,0.0,2020-10-16
Hạ Long,Precipitation,4,0.3,1.6,1.0,3.83,2020-09-18
Hạ Long,Precipitation,4,99.3,99.3,99.3,0.0,2020-10-31
Hạ Long,Precipitation,3,99.0,99.0,99.0,0.0,2020-12-27
Hạ Long,Precipitation,3,99.1,99.1,99.1,0.0,2020-01-15
Hạ Long,Precipitation,3,0.1,99.8,99.4,33001.2,2020-03-31
Hạ Long,Precipitation,2,99.4,99.5,99.4,0.05,2020-04-17
Hạ Long,Precipitation,3,99.0,99.2,99.2,0.13,2020-04-25
Hạ Long,Precipitation,2,99.0,99.0,99.0,0.0,2020-05-26
Hạ Long,Precipitation,3,99.5,99.8,99.8,0.3,2020-12-28
Hạ Long,Precipitation,3,0.1,99.9,99.5,33067.6,2020-12-03
Hạ Long,Precipitation,3,99.4,99.8,99.5,0.43,2020-03-16
Hạ Long,Precipitation,2,0.3,99.8,0.3,49501.2,2020-04-13
Hạ Long,Precipitation,3,0.7,6.4,3.6,81.23,2020-10-14
Hạ Long,Precipitation,2,2.6,10.1,2.6,281.25,2020-10-15
Hạ Long,Precipitation,4,99.1,99.1,99.1,0.0,2020-01-01
Hạ Long,Precipitation,4,99.2,99.2,99.2,0.0,2020-03-25
Hạ Long,Precipitation,3,99.4,99.6,99.6,0.13,2020-07-04
Hạ Long,Precipitation,4,1.1,2.1,1.6,2.07,2020-03-08
Hạ Long,Precipitation,2,0.3,99.3,0.3,49005.0,2020-04-09
Hạ Long,Precipitation,2,0.2,0.2,0.2,0.0,2020-07-09
Hạ Long,Precipitation,2,0.2,0.2,0.2,0.0,2020-09-25
Hạ Long,Precipitation,3,99.0,99.0,99.0,0.0,2020-02-12
Hạ Long,Precipitation,2,99.1,99.1,99.1,0.0,2020-01-16
Hạ Long,Precipitation,3,0.4,0.7,0.6,0.23,2020-03-14
Hạ Long,Precipitation,3,99.1,99.1,99.1,0.0,2020-03-15
Hạ Long,Precipitation,4,99.0,99.4,99.3,0.36,2020-03-20
Hạ Long,Precipitation,4,5.9,99.8,6.2,21933.9,2020-08-17
Hạ Long,Precipitation,2,0.6,0.6,0.6,0.0,2020-09-26
Hạ Long,Precipitation,4,0.1,99.9,99.3,24767.8,2020-12-15
Hạ Long,Precipitation,4,99.1,99.1,99.1,0.0,2020-12-16
Hạ Long,Precipitation,4,0.1,0.2,0.2,0.03,2020-06-03
Hạ Long,Precipitation,3,0.1,99.9,0.2,33166.9,2020-06-04
Hạ Long,Precipitation,2,0.3,0.3,0.3,0.0,2020-08-22
Hạ Long,Precipitation,3,99.0,99.5,99.5,0.83,2021-07-01
Hạ Long,Precipitation,3,99.0,99.0,99.0,0.0,2020-01-21
Hạ Long,Precipitation,3,2.9,99.5,3.3,30976.9,2020-06-14
Hạ Long,Precipitation,4,0.2,1.4,1.4,3.6,2020-04-07
Hạ Long,Precipitation,2,99.0,99.0,99.0,0.0,2020-11-18
Hạ Long,Precipitation,3,99.0,99.0,99.0,0.0,2020-01-13
Hạ Long,Precipitation,4,99.1,99.1,99.1,0.0,2020-06-02
Hạ Long,Precipitation,2,0.2,99.8,0.2,49600.8,2020-03-18
Hạ Long,Precipitation,4,99.1,99.4,99.2,0.22,2020-03-22
Hạ Long,Precipitation,3,99.3,99.3,99.3,0.0,2020-04-26
Hạ Long,Precipitation,3,0.2,99.3,99.1,32670.1,2020-04-04
Hạ Long,Precipitation,2,0.1,0.1,0.1,0.0,2020-04-22
Hạ Long,Precipitation,2,99.0,99.0,99.0,0.0,2020-08-09
Hạ Long,Precipitation,3,0.5,99.4,0.9,32472.7,2020-03-10
Hạ Long,Precipitation,2,99.0,99.0,99.0,0.0,2021-03-01
Hạ Long,Precipitation,3,99.5,99.6,99.6,0.03,2020-11-09
Hạ Long,Precipitation,2,99.0,99.0,99.0,0.0,2020-02-01
Hạ Long,Precipitation,2,99.0,99.0,99.0,0.0,2020-05-25
Hạ Long,Precipitation,8,2.3,2.3,2.3,0.0,2020-06-25
Hạ Long,Precipitation,4,1.7,1.7,1.7,0.0,2020-11-08
Hạ Long,Precipitation,4,6.3,9.6,7.8,25.42,2020-08-18
Hạ Long,Precipitation,2,99.1,99.2,99.1,0.05,2020-10-18
Hạ Long,Precipitation,3,99.1,99.1,99.1,0.0,2020-01-04
Hạ Long,Precipitation,4,99.7,99.7,99.7,0.0,2020-09-05
Hạ Long,Precipitation,3,99.0,99.0,99.0,0.0,2020-05-16
Hạ Long,Precipitation,4,0.3,9.9,4.5,164.4,2020-02-08
Hạ Long,Precipitation,4,0.2,1.8,0.4,7.57,2020-05-08
Hạ Long,Precipitation,2,99.6,99.6,99.6,0.0,2020-05-18
Hạ Long,Precipitation,3,1.2,1.2,1.2,0.0,2020-09-28
Hạ Long,Precipitation,4,1.0,2.5,1.1,4.82,2020-11-16
Hạ Long,Precipitation,4,99.0,99.0,99.0,0.0,2020-01-29
Hạ Long,Precipitation,2,3.0,3.3,3.0,0.45,2020-03-03
Hạ Long,Precipitation,3,99.0,99.0,99.0,0.0,2020-03-04
Hạ Long,Precipitation,3,0.1,99.5,0.1,32934.5,2020-05-04
Hạ Long,Precipitation,2,4.6,5.2,4.6,1.8,2020-09-19
Hạ Long,Precipitation,4,0.2,99.2,0.2,24502.5,2020-09-27
Hạ Long,Precipitation,3,2.3,99.8,2.3,31687.5,2020-01-10
Hạ Long,Precipitation,3,0.1,99.3,99.0,32703.2,2020-12-14
Hạ Long,Precipitation,3,99.6,99.6,99.6,0.0,2020-09-01
Hạ Long,Precipitation,2,99.0,99.0,99.0,0.0,2020-01-03
Hạ Long,Precipitation,4,0.1,99.3,0.2,24568.6,2020-04-23
Hạ Long,Precipitation,3,2.5,99.1,3.3,30849.7,2020-08-14
Hạ Long,Precipitation,4,99.1,99.5,99.5,0.4,2020-08-19
Hạ Long,Precipitation,3,99.3,99.3,99.3,0.0,2020-12-17
Hạ Long,Temperature,8,22.5,24.5,23.2,3.59,2020-03-13
Hạ Long,Temperature,8,27.0,32.4,28.6,42.81,2020-09-08
Hạ Long,Temperature,16,19.4,27.8,23.0,99.56,2020-10-22
Hạ Long,Temperature,8,20.8,28.5,23.0,89.44,2020-07-11
Hạ Long,Temperature,8,11.6,15.0,13.2,15.64,2020-12-19
Hạ Long,Temperature,7,18.4,26.3,20.5,81.72,2020-02-26
Hạ Long,Temperature,16,22.8,27.6,24.6,30.63,2020-03-28
Hạ Long,Temperature,8,17.5,24.4,21.0,68.54,2020-04-15
Hạ Long,Temperature,7,28.0,34.1,29.1,65.96,2020-03-06
Hạ Long,Temperature,8,24.4,29.0,27.2,33.85,2020-06-14
Hạ Long,Temperature,8,28.2,33.0,28.8,32.62,2020-06-29
Hạ Long,Temperature,7,25.2,29.4,27.3,32.13,2020-09-21
Hạ Long,Temperature,8,21.0,28.6,22.3,77.51,2020-08-10
Hạ Long,Temperature,7,21.0,24.6,21.8,13.75,2020-02-03
Hạ Long,Temperature,8,22.3,27.3,23.0,49.94,2020-11-23
Hạ Long,Temperature,7,24.6,28.5,25.6,31.01,2020-06-15
Hạ Long,Temperature,7,24.1,31.2,26.8,76.13,2020-08-21
Hạ Long,Temperature,7,23.4,26.0,24.2,6.5,2020-09-19
Hạ Long,Temperature,8,18.8,20.5,19.8,4.41,2020-03-19
Hạ Long,Temperature,8,25.8,29.4,26.6,21.03,2020-07-09
Hạ Long,Temperature,8,27.7,32.9,28.3,37.06,2020-09-16
Hạ Long,Temperature,11,20.0,26.1,23.0,36.23,2020-10-20
Hạ Long,Temperature,8,19.5,27.6,20.8,97.41,2020-02-29
Hạ Long,Temperature,8,16.3,21.6,17.3,32.47,2020-07-04
Hạ Long,Temperature,8,19.1,24.8,21.2,50.56,2020-09-04
Hạ Long,Temperature,7,24.9,29.0,26.2,24.82,2020-03-05
Hạ Long,Temperature,8,28.4,33.0,29.0,39.53,2020-10-06
Hạ Long,Temperature,32,28.4,33.6,29.5,41.29,2020-06-26
Hạ Long,Temperature,8,19.7,24.3,21.2,24.57,2020-03-11
Hạ Long,Temperature,8,12.0,16.3,13.3,28.8,2020-12-20
Hạ Long,Temperature,8,16.1,17.5,16.4,2.48,2020-01-18
Hạ Long,Temperature,6,16.8,22.0,19.5,31.75,2020-01-21
Hạ Long,Temperature,8,22.3,27.5,24.6,29.73,2020-03-29
Hạ Long,Temperature,8,26.0,31.4,27.6,43.16,2020-08-08
Hạ Long,Temperature,8,11.2,19.4,12.8,88.39,2021-01-18
Hạ Long,Temperature,6,19.9,24.6,20.3,42.78,2020-06-01
Hạ Long,Temperature,8,14.6,17.5,15.6,9.42,2020-04-02
Hạ Long,Temperature,7,27.1,30.5,27.6,17.73,2020-07-08
Hạ Long,Temperature,8,21.2,26.5,23.0,32.88,2020-11-19
Hạ Long,Temperature,8,12.3,20.8,18.6,98.63,2020-01-25
Hạ Long,Temperature,7,24.2,26.4,25.0,7.13,2020-04-19
Hạ Long,Temperature,7,27.6,33.0,29.4,39.03,2020-02-07
Hạ Long,Temperature,8,25.2,29.8,26.8,27.31,2020-09-25
Hạ Long,Temperature,8,20.0,23.2,21.6,13.54,2020-12-03
Hạ Long,Temperature,7,24.6,30.1,26.6,43.58,2020-05-27
Hạ Long,Temperature,8,26.9,33.8,29.0,70.0,2020-07-26
Hạ Long,Temperature,8,27.2,33.2,29.6,49.68,2020-06-09
Hạ Long,Temperature,7,27.8,32.6,28.4,28.4,2020-12-09
Hạ Long,Temperature,7,24.5,33.6,25.6,102.09,2020-09-18
Hạ Long,Temperature,8,18.9,22.8,19.4,23.17,2020-07-02
