Province,Address,Province Latitude,Province Longitude,Date,AQI,CO,NO2,O3,PM-10,PM-2.5,SO2,Primary Pollutant,Fog,Humidity,Temperature,Wind Speed,Pressure
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-01-21,245,8.0,17.0,23.0,119.0,195.0,3.0,PM-2.5,0.0,77.0,18.0,1.5,1015.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-01-21,301,7.0,52.0,2.0,155.0,251.0,6.0,PM-2.5,0.0,77.0,18.0,1.5,1015.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-01-21,365,7.0,48.0,20.555555555555557,205.0,315.0,12.0,PM-2.5,0.0,77.0,18.0,1.5,1015.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-01-22,214,5.0,14.0,23.0,88.0,164.0,17.0,PM-2.5,0.0,53.0,22.0,2.0,1015.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-01-22,285,5.0,25.0,30.0,138.0,235.0,19.0,PM-2.5,0.0,53.0,22.0,2.0,1015.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-01-22,302,2.0,15.0,20.555555555555557,157.0,252.0,15.0,PM-2.5,0.0,53.0,22.0,2.0,1015.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-01-23,226,9.0,16.0,24.0,102.0,176.0,4.0,PM-2.5,0.0,68.0,19.0,0.5,1017.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-01-23,276,6.0,20.0,41.0,136.0,226.0,6.0,PM-2.5,0.0,49.0,23.0,3.0,1012.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-01-23,264,1.0,13.0,20.555555555555557,128.0,214.0,16.0,PM-2.5,0.0,49.0,23.0,3.0,1012.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-01-23,226,9.0,16.0,24.0,102.0,176.0,4.0,PM-2.5,0.0,68.0,19.0,0.5,1017.0
Bắc Ninh,"Phong Cốc, Vietnam",21.1232473,106.2883295,2021-01-25,193,5.0,46.0,3.0,91.0,137.0,3.0,PM-2.5,0.0,77.0,21.0,3.0,1015.0
Bắc Ninh,"Khu liên cơ Thuận Thành, Vietnam",21.0272212,106.0342099,2021-01-25,182,4.0,17.0,20.555555555555557,66.0,116.0,5.0,PM-2.5,0.0,77.0,21.0,3.8,1015.0
Bắc Ninh,"Châu Khê, Vietnam",21.1137452,105.9268934,2021-01-23,226,9.0,16.0,24.0,102.0,176.0,4.0,PM-2.5,0.0,68.0,19.0,0.5,1017.0
