_id,Ngày,Quốc gia,Thành phố,Phân loại,Count,Min,Max,Meidan,Variance
1,2020-10-30T00:00:00,VN,Hạ Long,precipitation,3,0.2,99.3,0.2,32736
2,2020-12-01T00:00:00,VN,Hạ Long,precipitation,3,99,99,99,0
3,2020-01-14T00:00:00,VN,Hạ Long,precipitation,2,0.1,99.7,0.1,49600.8
4,2020-01-18T00:00:00,VN,Hạ Long,precipitation,4,99.1,99.1,99.1,0
5,2020-05-17T00:00:00,VN,Hạ Long,precipitation,2,2.6,2.6,2.6,0
6,2020-05-23T00:00:00,VN,Hạ Long,precipitation,3,99,99,99,0
7,2020-03-21T00:00:00,VN,Hạ Long,precipitation,4,0.1,99.9,0.1,32935.6
8,2020-03-27T00:00:00,VN,Hạ Long,precipitation,4,99,99,99,0
9,2020-11-07T00:00:00,VN,Hạ Long,precipitation,3,0.5,0.5,0.5,0
10,2020-04-08T00:00:00,VN,Hạ Long,precipitation,3,0.5,1.7,1,3.63
11,2020-08-21T00:00:00,VN,Hạ Long,precipitation,3,0.1,1,1,2.7
12,2020-04-18T00:00:00,VN,Hạ Long,precipitation,3,99,99.1,99.1,0.03
13,2020-06-13T00:00:00,VN,Hạ Long,precipitation,3,0.2,0.2,0.2,0
14,2020-10-09T00:00:00,VN,Hạ Long,precipitation,3,1.1,1.1,1.1,0
15,2020-10-16T00:00:00,VN,Hạ Long,precipitation,4,0.7,0.7,0.7,0
16,2020-09-18T00:00:00,VN,Hạ Long,precipitation,4,0.3,1.6,1,3.83
17,2020-10-31T00:00:00,VN,Hạ Long,precipitation,4,99.3,99.3,99.3,0
18,2020-12-27T00:00:00,VN,Hạ Long,precipitation,3,99,99,99,0
19,2020-01-15T00:00:00,VN,Hạ Long,precipitation,3,99.1,99.1,99.1,0
20,2020-03-31T00:00:00,VN,Hạ Long,precipitation,3,0.1,99.8,99.4,33001.2
21,2020-04-17T00:00:00,VN,Hạ Long,precipitation,2,99.4,99.5,99.4,0.05
22,2020-04-25T00:00:00,VN,Hạ Long,precipitation,3,99,99.2,99.2,0.13
23,2020-05-26T00:00:00,VN,Hạ Long,precipitation,2,99,99,99,0
24,2020-12-28T00:00:00,VN,Hạ Long,precipitation,3,99.5,99.8,99.8,0.3
25,2020-12-03T00:00:00,VN,Hạ Long,precipitation,3,0.1,99.9,99.5,33067.6
26,2020-03-16T00:00:00,VN,Hạ Long,precipitation,3,99.4,99.8,99.5,0.43
27,2020-04-13T00:00:00,VN,Hạ Long,precipitation,2,0.3,99.8,0.3,49501.2
28,2020-10-14T00:00:00,VN,Hạ Long,precipitation,3,0.7,6.4,3.6,81.23
29,2020-10-15T00:00:00,VN,Hạ Long,precipitation,2,2.6,10.1,2.6,281.25
30,2020-01-01T00:00:00,VN,Hạ Long,precipitation,4,99.1,99.1,99.1,0
31,2020-03-25T00:00:00,VN,Hạ Long,precipitation,4,99.2,99.2,99.2,0
32,2020-07-04T00:00:00,VN,Hạ Long,precipitation,3,99.4,99.6,99.6,0.13
33,2020-03-08T00:00:00,VN,Hạ Long,precipitation,4,1.1,2.1,1.6,2.07
34,2020-04-09T00:00:00,VN,Hạ Long,precipitation,2,0.3,99.3,0.3,49005
35,2020-07-09T00:00:00,VN,Hạ Long,precipitation,2,0.2,0.2,0.2,0
36,2020-09-25T00:00:00,VN,Hạ Long,precipitation,2,0.2,0.2,0.2,0
37,2020-02-12T00:00:00,VN,Hạ Long,precipitation,3,99,99,99,0
38,2020-01-16T00:00:00,VN,Hạ Long,precipitation,2,99.1,99.1,99.1,0
39,2020-03-14T00:00:00,VN,Hạ Long,precipitation,3,0.4,0.7,0.6,0.23
