date, pm25, pm10, o3, no2, so2, co
2020/6/22, 14, 16, 25, 2, 19, 7
2020/6/23, 15, 14, 26, 1, 19, 7
2020/6/24, 12, 13, 16, 2, 20, 7
2020/6/25, 12, 10, 25, 2, 20, 7
2020/6/26, 11, 11, 22, 1, 20, 7
2020/6/27, 14, 10, 19, 1, , 
2020/6/28, 13, , , , , 
2020/2/25, 19, 22, 1, 10, 1, 2
2020/2/26, 23, 35, 1, 16, 2, 3
2020/2/27, 26, , , , , 
2019/10/1, 46, , , , , 
2019/10/8, 23, 16, 17, 9, 2, 5
2019/10/9, 16, 27, 12, 13, 2, 4
2019/10/10, 23, , , , , 
2019/7/1, 12, 20, 46, 6, 2, 4
2019/7/2, 10, 21, 34, 5, 2, 4
2019/7/3, 11, 8, 36, 4, 2, 3
2019/7/4, 12, 10, 38, 3, 1, 3
2019/7/5, 10, 13, 46, 4, 2, 3
2019/7/6, 10, 15, 52, 4, 2, 3
2019/7/7, 9, 13, 48, 4, 2, 3
2019/7/8, 11, 20, 48, 4, 2, 3
2019/7/9, 14, 12, 32, 4, 3, 4
2019/7/10, 10, 14, 40, 4, 2, 3
2019/7/11, 10, 25, 40, 4, 2, 3
2019/7/12, 16, 21, 46, 4, 2, 3
2019/7/13, 16, 26, 51, 5, 2, 4
2019/7/14, 17, 19, 38, 4, 2, 3
2019/7/15, 15, 12, 36, 4, 2, 3
2019/7/16, 10, 15, 31, 3, 2, 3
2019/7/17, 11, 14, 38, 4, 2, 3
2019/7/18, 10, 21, 50, 5, 2, 3
2019/7/19, 12, 28, 43, 5, 2, 3
2019/7/20, 14, 23, 34, 5, 2, 4
2019/7/21, 13, 15, 36, 4, , 4
2019/7/22, 10, 16, 29, 4, 2, 4
2019/7/23, 11, 14, 19, 4, 3, 4
2019/7/24, 9, 16, 19, 4, 2, 4
2019/7/25, 10, , , , , 
2019/7/28, 6, 16, 30, 3, 2, 3
2019/7/29, 9, 15, 31, 4, 3, 3
2019/7/30, 9, 24, 36, 4, 2, 3
2019/7/31, 10, 13, 28, 4, 2, 3
2019/8/1, 9, 25, 28, 4, 3, 3
2019/8/2, 9, 5, 27, 3, 2, 3
2019/8/3, 5, 6, 25, 3, 2, 4
2019/8/4, 5, 9, 29, 4, 2, 4
2019/8/5, 7, 14, 36, 4, 2, 4
2019/8/6, 9, 21, 65, 5, 5, 3
2019/8/7, 14, 26, 53, 5, 2, 3
2019/8/8, 15, 33, 40, 6, 4, 4
2019/8/9, 17, 23, 64, 5, 3, 3
2019/8/10, 15, 10, 43, 4, 2, 3
2019/8/11, 6, 20, 50, 4, 2, 3
2019/8/12, 9, 23, 71, 5, 2, 3
2019/8/13, 12, 39, 46, 6, 4, 3
2019/8/14, 18, 54, 39, 7, 5, 4
2019/8/15, 23, 25, 27, 5, 3, 4
2019/8/16, 16, 13, 34, 4, 2, 4
2019/8/17, 10, 26, 49, 4, 2, 4
2019/8/18, 17, 38, 43, 6, 4, 4
2019/8/19, 21, 28, 42, 5, 3, 4
2019/8/20, 16, 19, 41, 4, 3, 4
2019/8/21, 10, 15, 33, 4, 3, 4
2019/8/22, 8, 31, 32, 4, 4, 4
2019/8/23, 15, 31, 48, 6, 4, 4
2019/8/24, 17, 31, 84, 6, 6, 4
2019/8/25, 18, 24, 52, 5, 7, 4
2019/8/26, 17, 19, 24, 4, 12, 4
2019/8/27, 13, 23, 27, 4, 17, 4
2019/8/28, 13, 27, 32, 5, 21, 3
2019/8/29, 13, 8, 23, 3, 24, 4
2019/8/30, 10, 5, 24, 3, 26, 4
2019/8/31, 5, 6, 20, 3, 23, 4
2019/9/1, 5, 18, 37, 4, 16, 4
2019/9/2, 10, 20, 29, 5, 21, 3
2019/9/3, 9, 22, 36, 8, 6, 4
2019/9/4, 11, 63, 50, 8, 6, 4
2019/9/5, 18, 32, 78, 6, 6, 4
2019/9/6, 20, 29, 59, 4, 6, 4
2019/9/7, 17, 19, 38, 3, 6, 3
2019/9/8, 10, 15, 35, 1, 6, 3
2019/9/9, 9, 13, 31, 5, 6, 3
2019/9/10, 10, 20, 27, 10, 6, 4
2019/9/11, 10, 24, 52, 6, 6, 4
2019/9/12, 12, 34, 53, 6, 6, 3
2019/9/13, 16, 41, 70, 6, 6, 3
2019/9/14, 16, 27, 70, 8, 6, 3
2019/9/15, 17, 31, 120, 9, 7, 3
2019/9/16, 19, 34, 571, 9, 6, 4
2019/9/17, 18, 37, 25, 7, 6, 5
2019/9/18, 20, 19, 21, 10, 7, 5
2019/9/19, 15, 25, 35, 5, 6, 4
2019/9/20, 20, 57, 27, 10, 7, 4
2019/9/21, 21, 66, 36, 8, 7, 5
2019/9/22, 17, 71, 52, 9, 7, 5
2019/9/23, 22, 81, 53, 10, 7, 4
2019/9/24, 28, 81, 32, 11, 7, 5
2019/9/25, 31, 62, 53, 9, 7, 5
2019/9/26, 27, 78, 48, 12, 7, 
2019/9/27, 33, 67, 62, 12, 7, 
