date, pm25, pm10, o3, no2, so2, co
2024/4/1, 53, 24, 9, 2, 2, 7
2024/4/2, 34, , , , , 
2024/1/1, 47, 50, , 7, 6, 1
2024/1/2, 60, 45, , 1, 5, 1
2024/1/3, 55, 49, , 1, 5, 1
2024/1/4, 57, 52, , 1, 6, 2
2024/1/5, 60, 57, , 1, 5, 1
2024/1/6, 80, 45, , 1, 5, 1
2024/1/7, 53, 51, , 1, 5, 1
2024/1/8, 58, 44, , 1, 5, 1
2024/1/9, 51, 35, , 1, 5, 2
2024/1/10, 38, 39, , 1, 6, 1
2024/1/11, 43, 43, , 1, 6, 2
2024/1/12, 48, 52, , 1, 6, 3
2024/1/13, 69, 61, , 1, 6, 2
2024/1/14, 89, 54, , , 6, 1
2024/1/15, 84, , , , , 
2024/1/28, 37, 43, , 8, 2, 1
2024/1/29, 51, 41, , 8, 2, 1
2024/1/30, 48, 36, , 7, 2, 1
2024/1/31, 41, 34, , 6, 2, 1
2024/2/1, 37, 41, , 6, 2, 1
2024/2/2, 50, 39, , 6, 2, 1
2024/2/3, 45, 49, , 8, 2, 1
2024/2/4, 63, 51, , 8, 2, 1
2024/2/5, 71, 43, , 6, 2, 
2024/2/6, 61, 50, , 7, 3, 
2024/2/7, 74, 46, , 6, 3, 1
2024/2/8, 66, 48, , 6, 3, 1
2024/2/9, 68, 39, , 4, 3, 1
2024/2/10, 46, 37, , 5, 3, 1
2024/2/11, 37, 38, , 5, 3, 1
2024/2/12, 41, 40, , 7, 3, 
2024/2/13, 43, 25, , 4, 3, 
2024/2/14, 26, 30, , 6, 3, 1
2024/2/15, 31, 31, , 6, 2, 1
2024/2/16, 33, 36, , 7, 2, 1
2024/2/17, 42, 36, , 5, 2, 
2024/2/18, 46, 34, , 5, 2, 1
2024/2/19, 40, 31, , 5, 2, 
2024/2/20, 36, 37, , 6, 2, 1
2024/2/21, 49, 32, , 6, 2, 1
2024/2/22, 36, 36, , 5, 3, 1
2024/2/23, 41, 36, , 6, 3, 1
2024/2/24, 40, 41, , 6, 3, 1
2024/2/25, 48, 35, , 6, 3, 1
2024/2/26, 37, 39, , 6, 3, 1
2024/2/27, 45, 31, 17, 4, 3, 1
2024/2/28, 33, 37, 23, 6, 3, 14
2024/2/29, 43, 42, 23, 5, 3, 12
2024/3/1, 51, 35, 30, 4, 3, 12
2024/3/2, 39, 31, 30, 4, 3, 12
2024/3/3, 34, 40, 26, 5, 3, 12
2024/3/4, 49, 54, 35, 6, 4, 11
2024/3/5, 82, 48, 29, 5, 3, 10
2024/3/6, 71, 49, 31, 4, 3, 9
2024/3/7, 74, 32, 19, 3, 2, 10
2024/3/8, 37, 44, 26, 4, 3, 12
2024/3/9, 62, 44, 30, 4, 3, 12
2024/3/10, 60, 40, 24, 5, 3, 13
2024/3/11, 49, 39, 26, 4, 3, 13
2024/3/12, 49, 36, 25, 3, 2, 11
2024/3/13, 39, 41, 28, 3, 3, 11
2024/3/14, 52, 35, 23, 2, 3, 11
2024/3/15, 42, 44, 21, 3, 3, 11
2024/3/16, 62, 39, 21, 3, 3, 11
2024/3/17, 53, 41, 21, 3, 3, 12
2024/3/18, 54, 40, 26, 3, 3, 12
2024/3/19, 51, 44, 33, 3, 3, 13
2024/3/20, 55, 46, 37, 3, 3, 12
2024/3/21, 58, 41, 24, 3, 2, 12
2024/3/22, 49, 41, 18, 3, 2, 9
2024/3/23, 52, 33, 10, 3, 2, 7
2024/3/24, 40, 33, 9, 2, 2, 7
2024/3/25, 41, 28, 8, 2, 1, 7
2024/3/26, 32, 40, 9, 2, 2, 7
2024/3/27, 53, 38, 9, 2, 2, 7
2024/3/28, 44, 38, 8, 2, , 7
2024/3/29, 52, 38, 10, 2, 2, 7
2024/3/30, 51, 37, 11, 2, 2, 7
2024/3/31, 51, 39, 15, 2, 2, 8
2023/10/1, 24, 10, , 1, 2, 1
2023/10/2, 9, 11, , 1, 2, 2
2023/10/3, 8, 13, , 1, 2, 2
2023/10/4, 11, 19, , 1, 2, 3
2023/10/5, 14, 25, , 1, 3, 2
2023/10/6, 21, 22, , 1, 2, 4
2023/10/7, 19, 18, , 1, 3, 
2023/10/8, 16, 25, , 1, 3, 
2023/10/9, 24, 25, , 3, 4, 
2023/10/10, 26, 26, , 2, 3, 
2023/10/11, 30, 26, , 1, 3, 
2023/10/12, 31, 33, , 1, 3, 
2023/10/13, 39, 28, , 1, 3, 
2023/10/14, 36, 21, , 1, 3, 1
2023/10/15, 24, 12, , , 3, 
2023/10/16, 11, 20, , , 3, 
2023/10/17, 18, 21, , , 3, 
2023/10/18, 23, 31, , 4, 3, 
2023/10/19, 35, 31, , 5, 3, 
2023/10/20, 36, , , , , 
2023/10/22, 20, 21, , 4, 3, 1
2023/10/23, 22, 28, , 5, 3, 1
2023/10/24, 32, , , , , 
2023/11/6, 23, 26, , 4, 4, 1
2023/11/7, 33, 27, , 4, 4, 1
2023/11/8, 34, 25, , 4, 4, 1
2023/11/9, 26, 18, , 4, 4, 2
2023/11/10, 21, 29, , 4, 4, 1
2023/11/11, 32, 32, , 7, 4, 1
2023/11/12, 34, 27, , 5, 4, 1
2023/11/13, 25, 26, , 4, 4, 1
2023/11/14, 26, 31, , 5, 4, 1
2023/11/15, 38, 34, , 5, 4, 1
2023/11/16, 37, 36, , 6, 4, 1
2023/11/17, 44, 33, , 3, 4, 1
2023/11/18, 29, 45, , 4, 4, 2
2023/11/19, 41, 49, , 4, 4, 1
2023/11/20, 49, 56, , 6, 4, 1
2023/11/21, 67, 50, , 6, 4, 1
2023/11/22, 54, 42, , 7, 4, 1
2023/11/23, 52, 39, , 4, 4, 1
2023/11/24, 53, 37, , 5, 4, 1
2023/11/25, 42, 42, , 6, 4, 1
2023/11/26, 54, 40, , 5, 4, 1
2023/11/27, 48, 47, , 6, 4, 1
2023/11/28, 57, 50, , 7, 4, 1
2023/11/29, 64, 44, , 5, 4, 1
2023/11/30, 56, 34, , 5, 4, 1
2023/12/1, 39, 34, , 7, 5, 1
2023/12/2, 33, 32, , 10, 5, 1
2023/12/3, 33, 35, , 7, 4, 1
2023/12/4, 40, 33, , 6, 4, 1
2023/12/5, 37, 37, , 7, 4, 1
2023/12/6, 41, 36, , 5, 4, 1
2023/12/7, 39, 39, , 7, 5, 1
2023/12/8, 45, 44, , 6, , 1
2023/12/9, 55, 36, , 6, , 1
2023/12/10, 44, 33, , 5, , 
2023/12/11, 42, , , , , 
2023/12/13, 68, 29, , 7, 5, 
2023/12/14, 27, , , , , 
2023/12/19, 34, 50, , 7, 5, 11
2023/12/20, 63, , , , , 
2023/12/26, 53, 53, , 6, 5, 1
2023/12/27, 66, 45, , 8, 5, 1
2023/12/28, 58, 47, , 7, 6, 
2023/12/29, 60, 28, , 6, 5, 1
2023/12/30, 30, 36, , 6, 5, 1
2023/12/31, 41, 40, , 6, 6, 1
2023/9/9, 8, 14, , 2, 2, 2
2023/9/10, 13, 21, , 2, , 1
2023/9/11, 21, 24, , 3, 2, 3
2023/9/12, 25, 27, , 1, 2, 1
2023/9/13, 32, 27, , 1, 2, 2
2023/9/14, 34, 17, , 1, 2, 1
2023/9/15, 19, , , , , 
2023/9/28, 35, 34, , 4, 3, 3
2023/9/29, 37, 21, , 2, 4, 2
2023/9/30, 26, 20, , 1, 2, 1
2024/1/27, , 36, , 6, 3, 1
2023/10/21, , 17, , 2, 3, 
2023/11/5, , 21, , 3, 4, 1
2023/12/12, , 51, , 8, , 
2023/12/18, , 36, , 5, 5, 
2023/12/25, , 45, , 5, 5, 2
2023/9/8, , 8, , 1, 2, 1
2023/9/27, , 29, , 19, 3, 2
